Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.48149935664104093,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Maximum Profit in Job Scheduling,91.2,0.5441735043380527,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Simple Bank System,80.3,0.6142935665806328,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
MEDIUM,Flatten 2D Vector,71.1,0.5013489435679918,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
MEDIUM,Subarray Product Less Than K,71.1,0.5285345535980827,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
HARD,Design Excel Sum Formula,66.8,0.42568163292465855,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph, Design, Topological Sort, Matrix"
MEDIUM,Combination Sum,61.2,0.7467468656021409,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Design Tic-Tac-Toe,61.2,0.5860139660881724,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Shortest Uncommon Substring in an Array,61.2,0.482141410869037,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
HARD,Palindrome Pairs,53.3,0.3624370777346535,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
MEDIUM,Smallest Common Region,53.3,0.679230513317286,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Pour Water,53.3,0.47890661504572457,https://leetcode.com/problems/pour-water,"Array, Simulation"
EASY,Can Place Flowers,53.3,0.2889923936767658,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
