Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Insert Delete GetRandom O(1),100.0,0.5492718867501576,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Shortest Uncommon Substring in an Array,81.0,0.4784837088561254,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
MEDIUM,Group Anagrams,76.6,0.707241519850137,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Parse Lisp Expression,74.9,0.5255774528501801,https://leetcode.com/problems/parse-lisp-expression,"Hash Table, String, Stack, Recursion"
MEDIUM,Design Hit Counter,73.0,0.6913361416832299,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,70.9,0.35714379184750605,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,String Compression,68.5,0.5782724361976558,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Valid Anagram,65.7,0.6647084687853648,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Coin Change,58.3,0.4623360729159747,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,String Compression III,45.8,0.6678566318750153,https://leetcode.com/problems/string-compression-iii,String
EASY,Number of Recent Calls,45.8,0.7716544603636463,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
