Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Moving Average from Data Stream,100.0,0.7975387185372417,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Longest Substring Without Repeating Characters,95.9,0.36543994836891586,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Leetcodify Friends Recommendations,95.9,0.27734571901778643,https://leetcode.com/problems/leetcodify-friends-recommendations,Database
HARD,Leetcodify Similar Friends,95.9,0.42516034800279423,https://leetcode.com/problems/leetcodify-similar-friends,Database
MEDIUM,Analyze User Website Visit Pattern,90.8,0.43400533516651846,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, Sorting"
EASY,Two Sum,87.8,0.553386234662956,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,84.3,0.4202363505516678,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Kth Largest Element in an Array,80.1,0.6774066181825623,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Valid Palindrome,75.1,0.5045372320746333,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,59.4,0.5625562721643422,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
HARD,Find Median from Data Stream,59.4,0.5311638246998045,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Ransom Note,59.4,0.6414261555294817,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
