Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Range Addition II,100.0,0.5702219319196039,https://leetcode.com/problems/range-addition-ii,"Array, Math"
HARD,Find Median from Data Stream,93.7,0.5303637040317442,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Design Snake Game,93.7,0.3904102349454387,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
MEDIUM,Merge Intervals,88.2,0.48881575982190123,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,80.9,0.8218036150147179,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Fraction Addition and Subtraction,80.9,0.6613086147192694,https://leetcode.com/problems/fraction-addition-and-subtraction,"Math, String, Simulation"
MEDIUM,Find Peak Element,76.0,0.4636562636685646,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,69.7,0.41212253818799094,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
HARD,Merge k Sorted Lists,69.7,0.5594090790110594,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Insert Delete GetRandom O(1),60.9,0.5493267595298692,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Search in Rotated Sorted Array,60.9,0.4240132330938862,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Basic Calculator II,60.9,0.45337900232230693,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
MEDIUM,Fraction to Recurring Decimal,60.9,0.2593350585561111,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
EASY,Palindrome Linked List,60.9,0.552569658940127,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
HARD,Stickers to Spell Word,60.9,0.4991015760922268,https://leetcode.com/problems/stickers-to-spell-word,"Array, Hash Table, String, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Find the Derangement of An Array,60.9,0.41750734487274793,https://leetcode.com/problems/find-the-derangement-of-an-array,"Math, Dynamic Programming, Combinatorics"
