Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,3Sum,100.0,0.37070964419376135,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Find the Child Who Has the Ball After K Seconds,95.5,0.6151708335223921,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,"Math, Simulation"
EASY,Best Time to Buy and Sell Stock,95.5,0.5525959754111676,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Capacity To Ship Packages Within D Days,92.9,0.7211784106475069,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,Longest Substring Without Repeating Characters,90.0,0.36936153441601066,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Unique Paths II,82.9,0.4315424243087263,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
EASY,Minimum Absolute Difference,82.9,0.7065237783248814,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
MEDIUM,Daily Temperatures,82.9,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,House Robber,72.9,0.523049630527837,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Minimum Window Substring,65.8,0.4535065228818145,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Coin Change,65.8,0.46495504462798637,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,Triangle,65.8,0.592942880327532,https://leetcode.com/problems/triangle,"Array, Dynamic Programming"
EASY,Backspace String Compare,65.8,0.49481723692271534,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Brick Wall,65.8,0.5585751978891821,https://leetcode.com/problems/brick-wall,"Array, Hash Table"
EASY,Find Pivot Index,65.8,0.6057036695144293,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
MEDIUM,Integer to Roman,65.8,0.6861926887963155,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Two Sum,55.9,0.5577698729377644,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Insert Delete GetRandom O(1),55.9,0.5499189489424546,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Subarray Product Less Than K,55.9,0.5285344933981581,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
EASY,Merge Sorted Array,55.9,0.5291956271063345,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Merge Intervals,55.9,0.49395270334772934,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Best Time to Buy and Sell Stock II,55.9,0.6950029224907471,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Squares of a Sorted Array,55.9,0.7321916295529628,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find the Smallest Divisor Given a Threshold,55.9,0.6364604732557255,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,"Array, Binary Search"
EASY,Next Greater Element I,55.9,0.7451249169659646,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Reverse Substrings Between Each Pair of Parentheses,55.9,0.717268529079912,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"String, Stack"
MEDIUM,Permutation in String,55.9,0.4724778525765767,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Longest Palindromic Substring,55.9,0.35846111810293435,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
MEDIUM,Decode String,55.9,0.6115254553566836,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Lexicographically Smallest String After Substring Operation,55.9,0.32344554536689435,https://leetcode.com/problems/lexicographically-smallest-string-after-substring-operation,"String, Greedy"
MEDIUM,Jump Game II,55.9,0.41503334814204573,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
EASY,Move Zeroes,55.9,0.6280404117101285,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Sort Array by Increasing Frequency,55.9,0.802688099698792,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
EASY,Can Place Flowers,55.9,0.2889916494677351,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
HARD,Find Median from Data Stream,55.9,0.5327803532552068,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Kth Smallest Element in a BST,55.9,0.7532960571851453,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Plus One,55.9,0.47547633468225714,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Group Anagrams,55.9,0.7092884222670683,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,55.9,0.4232283994953341,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Eliminate Maximum Number of Monsters,55.9,0.5078612806993201,https://leetcode.com/problems/eliminate-maximum-number-of-monsters,"Array, Greedy, Sorting"
