Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Available Captures for Rook,100.0,0.7011963627608941,https://leetcode.com/problems/available-captures-for-rook,"Array, Matrix, Simulation"
MEDIUM,Squirrel Simulation,100.0,0.5724132873799223,https://leetcode.com/problems/squirrel-simulation,"Array, Math"
MEDIUM,Walking Robot Simulation II,100.0,0.26567411394906737,https://leetcode.com/problems/walking-robot-simulation-ii,"Design, Simulation"
MEDIUM,Word Break,100.0,0.4793525672815562,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
HARD,Falling Squares,100.0,0.4587594753940561,https://leetcode.com/problems/falling-squares,"Array, Segment Tree, Ordered Set"
MEDIUM,Number of Black Blocks,100.0,0.3773105791851824,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Count Nice Pairs in an Array,100.0,0.4854425945350499,https://leetcode.com/problems/count-nice-pairs-in-an-array,"Array, Hash Table, Math, Counting"
MEDIUM,Rotating the Box,100.0,0.7916565712039714,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Pancake Sorting,100.0,0.7107131576417595,https://leetcode.com/problems/pancake-sorting,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Implement Trie (Prefix Tree),77.9,0.6754074013262233,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
HARD,Design a Text Editor,77.9,0.4758251258143197,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
MEDIUM,The Maze,70.9,0.5915187728808676,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Integer to English Words,61.2,0.3426276110524168,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Reconstruct Itinerary,61.2,0.4344597659439354,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
