Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Maximize Area of Square Hole in Grid,100.0,0.3697566883188374,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,"Array, Sorting"
EASY,Minimum Value to Get Positive Step by Step Sum,97.6,0.6462878389161475,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
MEDIUM,Sort Colors,80.5,0.6758309830109738,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,75.0,0.4232285107271765,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Merge Sorted Array,75.0,0.5291958949083617,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Next Greater Element I,75.0,0.7451249169659646,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
HARD,Maximum Profit in Job Scheduling,75.0,0.5441708252506257,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
EASY,Happy Number,75.0,0.5807271162515536,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
EASY,Fair Candy Swap,67.9,0.6328166847357979,https://leetcode.com/problems/fair-candy-swap,"Array, Hash Table, Binary Search, Sorting"
MEDIUM,Count Good Meals,67.9,0.3164606880510123,https://leetcode.com/problems/count-good-meals,"Array, Hash Table"
MEDIUM,Integer to Roman,67.9,0.6861924193258928,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Daily Temperatures,67.9,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Course Schedule,67.9,0.492343272648647,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Maximum Score From Removing Substrings,58.0,0.6284543200185538,https://leetcode.com/problems/maximum-score-from-removing-substrings,"String, Stack, Greedy"
MEDIUM,Immediate Food Delivery II,58.0,0.5431590135558603,https://leetcode.com/problems/immediate-food-delivery-ii,Database
MEDIUM,Letter Combinations of a Phone Number,58.0,0.6385757214523419,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,K Closest Points to Origin,58.0,0.6793952169635183,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Minimum Number of Work Sessions to Finish the Tasks,58.0,0.3374703973335672,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Two City Scheduling,58.0,0.6769210516989099,https://leetcode.com/problems/two-city-scheduling,"Array, Greedy, Sorting"
EASY,Best Time to Buy and Sell Stock,58.0,0.5525960541487699,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Median of Two Sorted Arrays,58.0,0.4381462083330783,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Merge Two Sorted Lists,58.0,0.6684090860904955,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
MEDIUM,Subarray Sum Equals K,58.0,0.4547627237551225,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,First Missing Positive,58.0,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,LRU Cache,58.0,0.452147387470624,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Consecutive Sequence,58.0,0.4704085483066707,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
EASY,Majority Element,58.0,0.6574031819588328,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Maximum Length of Pair Chain,58.0,0.6087689786906313,https://leetcode.com/problems/maximum-length-of-pair-chain,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Subsets II,58.0,0.5950728535283255,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
HARD,Trapping Rain Water,58.0,0.6510208301452317,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Edit Distance,58.0,0.5878986860189561,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
