Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.5490436146262148,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Minimum Number of Refueling Stops,86.4,0.4036042666783842,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
EASY,Isomorphic Strings,86.4,0.4631273882855816,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,3Sum,86.4,0.36278913275173424,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Permutations,75.7,0.8000941155526933,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Merge Sorted Array,75.7,0.5209790533946529,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Find K Pairs with Smallest Sums,75.7,0.4038284439272248,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,"Array, Heap (Priority Queue)"
HARD,Maximum Employees to Be Invited to a Meeting,75.7,0.6239758516601983,https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting,"Depth-First Search, Graph, Topological Sort"
MEDIUM,Maximum Subarray,75.7,0.5164880129738245,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Valid Parentheses,75.7,0.41739470634414305,https://leetcode.com/problems/valid-parentheses,"String, Stack"
EASY,Climbing Stairs,75.7,0.5331666896613292,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Count Submatrices with Top-Left Element and Sum Less Than k,75.7,0.5830256745638278,https://leetcode.com/problems/count-submatrices-with-top-left-element-and-sum-less-than-k,"Array, Matrix, Prefix Sum"
MEDIUM,Double Modular Exponentiation,75.7,0.48153754317144926,https://leetcode.com/problems/double-modular-exponentiation,"Array, Math, Simulation"
EASY,Furthest Point From Origin,75.7,0.6490787578924049,https://leetcode.com/problems/furthest-point-from-origin,"String, Counting"
MEDIUM,Mark Elements on Array by Performing Queries,75.7,0.4905854848035396,https://leetcode.com/problems/mark-elements-on-array-by-performing-queries,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
