Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.4521454893758596,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Longest Substring Without Repeating Characters,86.6,0.36936173184826904,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,82.8,0.7092882781909262,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,78.3,0.6456597620808515,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Merge k Sorted Lists,78.3,0.567741907864408,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
HARD,LFU Cache,78.3,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Container With Most Water,72.8,0.5778283165036205,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Two Sum,72.8,0.557769895737655,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,72.8,0.6231992979713605,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Find Median from Data Stream,72.8,0.5327816407313548,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Pour Water,72.8,0.47890661504572457,https://leetcode.com/problems/pour-water,"Array, Simulation"
MEDIUM,Restore IP Addresses,72.8,0.531583393083398,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Decode String,72.8,0.6115249906697672,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Koko Eating Bananas,65.7,0.49067279348014564,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
EASY,Best Time to Buy and Sell Stock,65.7,0.5525965216784976,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Simplify Path,65.7,0.4785432317744196,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Task Scheduler,65.7,0.6153909539748507,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Time Based Key-Value Store,55.7,0.49366343275238816,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Number of Distinct Islands,55.7,0.6225551999482754,https://leetcode.com/problems/number-of-distinct-islands,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
MEDIUM,Permutation in String,55.7,0.47247849599514163,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Sort Colors,55.7,0.6758312948649591,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Validate Binary Search Tree,55.7,0.3438039571887417,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Reverse Integer,55.7,0.30308922695548246,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Longest Consecutive Sequence,55.7,0.47040829093373415,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
MEDIUM,Maximum Profit From Trading Stocks,55.7,0.46591262841133135,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming"
EASY,Majority Element,55.7,0.6574028018936169,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Merge Intervals,55.7,0.4939527547797844,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Number of Visible People in a Queue,55.7,0.7129632743660456,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
HARD,Minimum Cost to Make Array Equal,55.7,0.4632379781368273,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
EASY,Reverse Linked List,55.7,0.7920654119580827,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
HARD,Create Maximum Number,55.7,0.32494755150710974,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
MEDIUM,Binary Tree Zigzag Level Order Traversal,55.7,0.6168283891746636,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Rotting Oranges,55.7,0.566185183855214,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
EASY,Degree of an Array,55.7,0.5742057825337067,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Zigzag Conversion,55.7,0.5160678115303926,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Gas Station,55.7,0.46383617781658143,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Cache With Time Limit,55.7,0.7578738827979018,https://leetcode.com/problems/cache-with-time-limit,
EASY,Valid Parentheses,55.7,0.42322822762811346,https://leetcode.com/problems/valid-parentheses,"String, Stack"
