Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Find Beautiful Indices in the Given Array I,100.0,0.3812670383791243,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-i,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
HARD,Find Beautiful Indices in the Given Array II,93.4,0.262202293443105,https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii,"Two Pointers, String, Binary Search, Rolling Hash, String Matching, Hash Function"
MEDIUM,Minimum Time Difference,83.7,0.6232844242038018,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,LRU Cache,83.7,0.4493680039649235,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Integer to English Words,83.7,0.34307658550073183,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
EASY,Range Sum Query - Immutable,81.9,0.6802769187736011,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
EASY,Contains Duplicate II,81.9,0.4876254895266991,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
HARD,Selling Pieces of Wood,79.9,0.5151982718716247,https://leetcode.com/problems/selling-pieces-of-wood,"Array, Dynamic Programming, Memoization"
MEDIUM,Maximum Size Subarray Sum Equals k,79.9,0.5058045512302183,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Single Number,79.9,0.7573441729899154,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Check If It Is a Straight Line,79.9,0.39664916474472667,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
EASY,Contains Duplicate,79.9,0.6307845547766181,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
HARD,Contains Duplicate III,79.9,0.2354891146296486,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
HARD,Merge k Sorted Lists,69.2,0.5644307635468093,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
MEDIUM,Shortest Word Distance III,65.4,0.5905219991570948,https://leetcode.com/problems/shortest-word-distance-iii,"Array, String"
MEDIUM,Construct Quad Tree,60.7,0.7696577506618212,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,54.7,0.5010390506527164,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
MEDIUM,Find Players With Zero or One Losses,54.7,0.7262291570425389,https://leetcode.com/problems/find-players-with-zero-or-one-losses,"Array, Hash Table, Sorting, Counting"
MEDIUM,Merge Intervals,54.7,0.49193343119336097,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Count the Number of Good Subsequences,54.7,0.5099093562759256,https://leetcode.com/problems/count-the-number-of-good-subsequences,"Hash Table, Math, String, Combinatorics, Counting"
EASY,Flood Fill,46.2,0.661956665657589,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Accounts Merge,46.2,0.5928262028638038,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Number of Islands,46.2,0.6206906034785149,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,All Ancestors of a Node in a Directed Acyclic Graph,46.2,0.6187154044333342,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Number of Divisible Triplet Sums,46.2,0.6758857373574242,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Trapping Rain Water II,46.2,0.5876483607554764,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,Sort List,46.2,0.6144023419186813,https://leetcode.com/problems/sort-list,"Linked List, Two Pointers, Divide and Conquer, Sorting, Merge Sort"
MEDIUM,Daily Temperatures,46.2,0.6721544536437388,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
