Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Decode String,100.0,0.6097517480133998,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Remove Boxes,97.9,0.4823233247894544,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
MEDIUM,Minimum Factorization,97.9,0.3379030645760146,https://leetcode.com/problems/minimum-factorization,"Math, Greedy"
HARD,Candy,62.3,0.44660269489651044,https://leetcode.com/problems/candy,"Array, Greedy"
MEDIUM,Implement Rand10() Using Rand7(),62.3,0.4584408338062559,https://leetcode.com/problems/implement-rand10-using-rand7,"Math, Rejection Sampling, Randomized, Probability and Statistics"
MEDIUM,Immediate Food Delivery II,62.3,0.5412048427565711,https://leetcode.com/problems/immediate-food-delivery-ii,Database
HARD,Alien Dictionary,62.3,0.36595287601625176,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,LRU Cache,62.3,0.4493692731471758,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Remove Duplicates from Sorted List II,62.3,0.4968223107778422,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
EASY,Valid Parentheses,62.3,0.4216002717217113,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Jump Game,62.3,0.3932861526841963,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Remove to Make Valid Parentheses,62.3,0.7058955740103616,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
MEDIUM,Department Highest Salary,62.3,0.5443642408362213,https://leetcode.com/problems/department-highest-salary,Database
EASY,Next Greater Element I,62.3,0.7427225153785604,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
MEDIUM,Debounce,62.3,0.9180630303955621,https://leetcode.com/problems/debounce,
MEDIUM,Merge Intervals,62.3,0.4919347950220192,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
