Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Construct Target Array With Multiple Sums,100.0,0.3623599069570734,https://leetcode.com/problems/construct-target-array-with-multiple-sums,"Array, Heap (Priority Queue)"
MEDIUM,Encode Number,87.2,0.7004830917874396,https://leetcode.com/problems/encode-number,"Math, String, Bit Manipulation"
EASY,1-bit and 2-bit Characters,87.2,0.45202986065845946,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array
MEDIUM,Finding Pairs With a Certain Sum,87.2,0.51565497396547,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
MEDIUM,Get Biggest Three Rhombus Sums in a Grid,87.2,0.488644467606561,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum"
EASY,Substrings of Size Three with Distinct Characters,87.2,0.7487800523684837,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,"Hash Table, String, Sliding Window, Counting"
MEDIUM,3Sum With Multiplicity,87.2,0.4565488669262254,https://leetcode.com/problems/3sum-with-multiplicity,"Array, Hash Table, Two Pointers, Sorting, Counting"
EASY,Find the K-Beauty of a Number,87.2,0.6116752581763012,https://leetcode.com/problems/find-the-k-beauty-of-a-number,"Math, String, Sliding Window"
EASY,Find Numbers with Even Number of Digits,87.2,0.7767326813233307,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,"Array, Math"
EASY,Subtract the Product and Sum of Digits of an Integer,87.2,0.8665570918139375,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,Math
MEDIUM,Exam Room,87.2,0.43655576105907234,https://leetcode.com/problems/exam-room,"Design, Heap (Priority Queue), Ordered Set"
MEDIUM,Range Frequency Queries,87.2,0.41093283021388144,https://leetcode.com/problems/range-frequency-queries,"Array, Hash Table, Binary Search, Design, Segment Tree"
EASY,Maximum Number of Words You Can Type,87.2,0.7427102310088717,https://leetcode.com/problems/maximum-number-of-words-you-can-type,"Hash Table, String"
MEDIUM,Sort the Matrix Diagonally,87.2,0.8293158774161697,https://leetcode.com/problems/sort-the-matrix-diagonally,"Array, Sorting, Matrix"
MEDIUM,Number of Subarrays with Bounded Maximum,52.3,0.53523074223548,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,"Array, Two Pointers"
MEDIUM,Subarray Sum Equals K,52.3,0.44790708233250376,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
HARD,Binary Tree Cameras,52.3,0.4696956386075777,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
