Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Hit Counter,100.0,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,IP to CIDR,90.2,0.5492354970683057,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,House Robber,88.0,0.5230498170963667,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,House Robber II,84.5,0.43562717574783655,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Design Tic-Tac-Toe,84.5,0.5860164938046469,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Time Based Key-Value Store,73.1,0.49366262559843777,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
HARD,Smallest Range Covering Elements from K Lists,64.5,0.6974692747987687,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,64.5,0.3406636948984646,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Snapshot Array,64.5,0.36665375389245647,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
HARD,Split Message Based on Limit,61.5,0.4261603375527427,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
MEDIUM,Web Crawler Multithreaded,58.1,0.5009673573880699,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
HARD,Text Justification,58.1,0.48149935664104093,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Number of Flowers in Full Bloom,58.1,0.5717535511066795,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,53.8,0.5630838477366256,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
HARD,Count Integers in Intervals,48.4,0.34161250608411836,https://leetcode.com/problems/count-integers-in-intervals,"Design, Segment Tree, Ordered Set"
MEDIUM,Longest Mountain in Array,48.4,0.4107832017720806,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Second Degree Follower,48.4,0.3999676139583839,https://leetcode.com/problems/second-degree-follower,Database
MEDIUM,Merge Intervals,40.7,0.4939523849309626,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
MEDIUM,Spiral Matrix,40.7,0.539397306376751,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Find All Anagrams in a String,40.7,0.5220071349201708,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
EASY,Number of Recent Calls,40.7,0.7732793446019116,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
MEDIUM,Finding Pairs With a Certain Sum,40.7,0.491882680060992,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
MEDIUM,Find the Length of the Longest Common Prefix,40.7,0.564161205458434,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,40.7,0.5675053393759442,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
HARD,Data Stream as Disjoint Intervals,40.7,0.5950108773030263,https://leetcode.com/problems/data-stream-as-disjoint-intervals,"Binary Search, Design, Ordered Set"
MEDIUM,Find Peak Element,40.7,0.4650921984332019,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Closest Leaf in a Binary Tree,40.7,0.4704793196402153,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Longest Palindrome by Concatenating Two Letter Words,40.7,0.5370286650749474,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting"
HARD,First Missing Positive,40.7,0.4108465766394882,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
HARD,Maximum Profit in Job Scheduling,40.7,0.5441718927003354,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Course Schedule II,40.7,0.5342350029047974,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Design A Leaderboard,40.7,0.6796315583908346,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
MEDIUM,String to Integer (atoi),40.7,0.19229417945480093,https://leetcode.com/problems/string-to-integer-atoi,String
